Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouillé Marie P.Q.;Normandin Myriam-Zaa Q.S.;Samson Claire C.A.Q.-É.F.L.;Savard Claude O.N. - P.I.Q.;Tremblay Chantal P.L.Q./Q.L.P.;B.V.;B.R.;
143;Iberville;2014-04-07;G;BVA5;;;;0;141;26;111;2;140;420;4;
143;Iberville;2014-04-07;G;BVA6;;;;0;131;15;106;1;108;361;4;
143;Iberville;2014-04-07;G;BVA7;;;;0;146;28;105;6;130;415;2;
143;Iberville;2014-04-07;G;BVA8;;;;0;207;23;123;3;180;536;6;
143;Iberville;2014-04-07;G;BVA9;;;;0;190;26;125;1;196;538;4;
143;Iberville;2014-04-07;G;BVA10;;;;0;167;24;76;4;156;427;9;
143;Iberville;2014-04-07;G;BVA11;;;;0;154;17;62;1;129;363;2;
143;Iberville;2014-04-07;G;BVA12;;;;0;84;11;41;2;52;190;5;
143;Iberville;2014-04-07;G;BVA13;;;;0;120;17;60;2;109;308;4;
143;Iberville;2014-04-07;G;BVA14;;;;0;124;12;102;1;207;446;5;
143;Iberville;2014-04-07;G;BVA15;;;;0;73;12;55;0;111;251;1;
143;Iberville;2014-04-07;G;BVA16;;;;0;110;22;104;1;139;376;2;
143;Iberville;2014-04-07;G;BVA17;;;;0;172;26;129;4;155;486;4;
143;Iberville;2014-04-07;G;BVA18;;;;0;159;18;85;2;115;379;4;
143;Iberville;2014-04-07;G;Vote en installation d'hébergement;;;;0;106;11;53;7;202;379;10;
143;Iberville;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;31;9;19;3;40;102;3;
143;Iberville;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;142;35;121;1;144;443;4;
143;Iberville;2014-04-07;G;Vote hors circonscription;;;;0;133;107;91;27;118;476;20;
143;Iberville;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;127;0;0;0;0;0;0;0;
143;Iberville;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;12;0;0;0;0;0;0;0;
143;Iberville;2014-04-07;G;Total de la circonscription;;;;46739;10249;2283;11135;265;8602;32534;652;
143;Iberville;2014-04-07;G;Majorité en faveur de Claire Samson : 886
