Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Huard Olivier Q.S.;Lacombe Pierre É.A.P. - P.C.Q.;Lavallée Lise C.A.Q.-É.F.L.;McKay Scott P.Q.;Nantel Robert P.L.Q./Q.L.P.;Strasbourg Christian O.N. - P.I.Q.;B.V.;B.R.;
367;Repentigny;2014-04-07;G;BVA13;;;;0;14;2;106;140;108;3;373;0;
367;Repentigny;2014-04-07;G;BVA14;;;;0;19;3;129;167;123;3;444;8;
367;Repentigny;2014-04-07;G;BVA15;;;;0;19;4;146;186;134;2;491;2;
367;Repentigny;2014-04-07;G;BVA16;;;;0;22;2;147;138;143;0;452;2;
367;Repentigny;2014-04-07;G;BVA17;;;;0;10;2;154;108;179;0;453;3;
367;Repentigny;2014-04-07;G;BVA18;;;;0;22;1;125;173;100;3;424;6;
367;Repentigny;2014-04-07;G;Vote en installation d'hébergement;;;;0;21;7;230;256;453;4;971;16;
367;Repentigny;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;2;4;19;17;25;1;68;4;
367;Repentigny;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;39;3;149;246;162;2;601;11;
367;Repentigny;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;
367;Repentigny;2014-04-07;G;Vote hors circonscription;;;;0;130;4;155;194;146;12;641;37;
367;Repentigny;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;190;0;0;0;0;0;0;0;0;
367;Repentigny;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;10;0;0;0;0;0;0;0;0;
367;Repentigny;2014-04-07;G;Total de la circonscription;;;;51484;2490;204;13889;12941;8721;260;38505;631;
367;Repentigny;2014-04-07;G;Majorité en faveur de Lise Lavallée : 948
