Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Canning Justin P.N.;Dandenault Christine P.M.L.Q.;Leduc Alexandre Q.S.;Lewis-Richmond Malcolm P.V.Q./G.P.Q.;Mallette Etienne B.P.;Marchand Simon O.N. - P.I.Q.;Poirier Carole P.Q.;Provencher David P.L.Q./Q.L.P.;Walsh Brendan C.A.Q.-É.F.L.;B.V.;B.R.;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;339;;90;397;4;1;41;1;0;2;60;38;16;163;1;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;340;;91;378;2;0;43;3;0;0;62;33;22;165;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;340;;92;368;3;0;50;1;0;1;66;35;29;185;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;340;;93;406;3;0;78;5;0;0;77;26;23;212;1;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;340;;94;392;0;0;49;3;1;2;51;62;57;225;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;340;;95;363;3;0;48;2;2;2;84;29;28;198;1;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;340;;96;374;0;0;33;4;1;0;46;63;25;172;0;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;340;;97;374;3;0;49;5;3;1;55;68;38;222;0;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;340;;98;378;2;0;38;1;1;4;48;51;21;166;4;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;340;;99;374;2;0;40;8;1;1;63;63;19;197;1;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;340;;100;382;0;0;32;1;0;1;58;80;22;194;2;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;341;;101;368;2;0;48;0;2;1;76;42;25;196;5;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;341;;102;375;2;0;49;0;0;1;50;37;49;188;6;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;341;;103;388;4;0;55;5;2;4;81;39;28;218;6;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;341;;104;370;1;0;59;8;2;3;64;28;29;194;4;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;341;;105;372;1;0;51;2;5;1;79;37;21;197;31;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;341;;106;360;2;1;44;3;1;2;92;27;27;199;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;341;;107;376;2;1;56;4;3;4;71;27;24;192;1;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;341;;108;359;0;0;44;1;5;3;48;25;22;148;2;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;341;;109;495;3;1;47;2;2;2;48;10;29;144;1;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;330;Regr. BVO-26;500;0;0;0;0;0;0;0;0;0;0;0;0;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;330;Regr. BVO-27;501;0;0;0;0;0;0;0;0;0;0;0;0;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;332;Regr. BVO-42;502;0;0;0;0;0;0;0;0;0;0;0;0;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;333;Regr. BVO-48;503;0;0;0;0;0;0;0;0;0;0;0;0;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;335;Regr. BVO-65;504;0;0;0;0;0;0;0;0;0;0;0;0;
387;Hochelaga-Maisonneuve;2014-04-07;G;Montréal, v;341;Regr. BVO-109;505;0;0;0;0;0;0;0;0;0;0;0;0;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA1;;;;0;0;1;46;2;1;4;112;62;17;245;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA2;;;;0;1;5;70;4;3;5;147;67;20;322;2;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA3;;;;0;1;0;42;6;1;1;140;83;42;316;5;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA4;;;;0;2;0;50;3;0;2;93;27;15;192;1;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA5;;;;0;1;4;56;1;1;5;87;55;22;232;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA6;;;;0;3;0;65;2;1;4;80;28;8;191;1;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA7;;;;0;3;0;47;0;0;3;113;47;20;233;2;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA8;;;;0;2;1;68;2;1;3;117;59;43;296;4;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA9;;;;0;2;0;70;6;2;4;135;62;28;309;2;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA10;;;;0;3;1;53;2;2;3;146;82;28;320;3;
