Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benhabib Djemila P.Q.;Charbonneau Francine P.L.Q./Q.L.P.;Jitaru Bianca P.V.Q./G.P.Q.;Loranger Sylvain C.A.Q.-É.F.L.;Mirabella David É.A.P. - P.C.Q.;Paradis Anik Q.S.;Rieussec Maël O.N. - P.I.Q.;B.V.;B.R.;
451;Mille-Îles;2014-04-07;G;BVA6;;;;0;109;464;2;59;1;14;0;649;4;
451;Mille-Îles;2014-04-07;G;BVA7;;;;0;38;476;1;27;1;7;0;550;4;
451;Mille-Îles;2014-04-07;G;BVA8;;;;0;165;110;4;68;1;18;0;366;3;
451;Mille-Îles;2014-04-07;G;BVA9;;;;0;165;189;2;59;0;19;0;434;1;
451;Mille-Îles;2014-04-07;G;BVA10;;;;0;141;139;0;42;0;10;0;332;7;
451;Mille-Îles;2014-04-07;G;BVA11;;;;0;92;178;1;37;1;5;0;314;5;
451;Mille-Îles;2014-04-07;G;BVA12;;;;0;102;152;2;34;0;7;0;297;1;
451;Mille-Îles;2014-04-07;G;BVA13;;;;0;110;130;3;47;3;9;1;303;2;
451;Mille-Îles;2014-04-07;G;BVA14;;;;0;111;104;2;35;3;16;0;271;2;
451;Mille-Îles;2014-04-07;G;BVA15;;;;0;116;114;2;38;3;16;0;289;3;
451;Mille-Îles;2014-04-07;G;BVA16;;;;0;115;93;2;43;0;4;1;258;3;
451;Mille-Îles;2014-04-07;G;Vote en installation d'hébergement;;;;0;59;118;5;26;3;8;3;222;5;
451;Mille-Îles;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;106;282;3;49;3;7;0;450;2;
451;Mille-Îles;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;
451;Mille-Îles;2014-04-07;G;Vote hors circonscription;;;;0;136;283;20;60;2;103;8;612;18;
451;Mille-Îles;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;133;0;0;0;0;0;0;0;0;0;
451;Mille-Îles;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;49;0;0;0;0;0;0;0;0;0;
451;Mille-Îles;2014-04-07;G;Total de la circonscription;;;;42804;8339;16499;348;5757;98;1545;84;32670;417;
451;Mille-Îles;2014-04-07;G;Majorité en faveur de Francine Charbonneau : 8160
