Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Archambault Marcos P.Q.;Cauchon Jean-Gabriel O.N. - P.I.Q.;Dupré Léon M.P.Q.;Fortin Côté David Q.S.;Leclerc Julien P.Éq.;Nichols Marie-Claude P.L.Q./Q.L.P.;Paul Michel É.A.P. - P.C.Q.;Radcliffe Thomas P.V.Q./G.P.Q.;Tison Luc C.A.Q.-É.F.L.;B.V.;B.R.;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;1;;86;380;12;0;0;6;2;182;1;0;26;229;1;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;1;;87;421;18;0;0;6;0;182;1;2;37;246;1;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;1;;88;374;21;0;0;6;1;150;0;2;47;227;0;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;1;;89;386;32;1;0;6;0;157;5;2;39;242;1;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;1;;90;394;19;1;0;9;1;157;2;4;31;224;2;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;1;;91;384;28;1;1;8;0;142;4;2;32;218;4;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;1;;92;392;26;0;0;5;1;73;0;1;27;133;1;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;1;;93;383;31;0;0;11;0;142;1;2;38;225;0;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;1;;94;383;57;0;0;18;0;98;2;5;45;225;5;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;;95;380;34;1;2;15;2;77;1;4;41;177;5;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;;96;371;39;0;2;13;1;121;0;2;40;218;5;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;;97;351;30;0;2;18;0;127;1;1;31;210;1;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;;98A;592;29;0;0;4;1;97;1;1;23;156;1;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;;98B;194;19;0;1;3;0;41;1;3;13;81;2;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;;99;414;62;1;1;18;0;84;1;7;42;216;7;
