Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Campeau Richard C.A.Q.-É.F.L.;Chouakri Yasmina P.Q.;Couture Raphael O.N. - P.I.Q.;Lessard Marlène Q.S.;Teclou Annibal P.V.Q./G.P.Q.;Thériault Lise P.L.Q./Q.L.P.;B.V.;B.R.;
373;Anjou-Louis-Riel;2014-04-07;G;BVA12;;;;0;50;99;2;16;3;241;411;5;
373;Anjou-Louis-Riel;2014-04-07;G;BVA13;;;;0;50;131;0;26;0;232;439;2;
373;Anjou-Louis-Riel;2014-04-07;G;BVA14;;;;0;63;119;2;23;4;194;405;0;
373;Anjou-Louis-Riel;2014-04-07;G;BVA15;;;;0;51;117;0;24;2;150;344;1;
373;Anjou-Louis-Riel;2014-04-07;G;Vote en installation d'hébergement;;;;0;104;162;7;32;7;436;748;17;
373;Anjou-Louis-Riel;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;20;36;0;11;1;131;199;2;
373;Anjou-Louis-Riel;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;60;92;2;29;2;289;474;3;
373;Anjou-Louis-Riel;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;
373;Anjou-Louis-Riel;2014-04-07;G;Vote hors circonscription;;;;0;46;105;10;86;9;232;488;10;
373;Anjou-Louis-Riel;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;145;0;0;0;0;0;0;0;0;
373;Anjou-Louis-Riel;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;15;0;0;0;0;0;0;0;0;
373;Anjou-Louis-Riel;2014-04-07;G;Total de la circonscription;;;;43718;5315;7326;147;2448;303;16049;31588;454;
373;Anjou-Louis-Riel;2014-04-07;G;Majorité en faveur de Lise Thériault : 8723
