Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aberra Adam P.V.Q./G.P.Q.;Brunet Jean-François B.P.;Del Fabbro Fabrizio C.A.Q.-É.F.L.;de Santis Rita P.L.Q./Q.L.P.;Généreux Claude Q.S.;Luthu Félix O.N. - P.I.Q.;Mahiout Leila P.Q.;B.V.;B.R.;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;296;;101;383;3;1;42;127;12;0;34;219;2;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;296;;102;396;5;1;24;96;11;0;45;182;2;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;296;;103;388;1;1;15;125;6;0;33;181;5;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;296;;104;394;1;2;27;136;7;0;23;196;5;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;296;;105;391;2;3;15;151;5;1;24;201;1;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;296;;106;380;1;0;19;164;3;0;19;206;5;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;296;;107;391;1;1;24;96;12;0;32;166;4;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;296;;108;386;0;1;15;176;8;0;36;236;5;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;297;;109;389;3;3;33;79;15;1;42;176;2;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;297;;110;366;2;0;19;152;2;0;25;200;6;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;297;;111;363;3;6;22;145;7;0;15;198;4;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;297;;112;383;4;1;24;141;15;0;15;200;3;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;297;;113;393;1;0;21;141;6;0;27;196;4;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;297;;114;343;1;2;12;103;10;0;23;151;5;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;297;;115;340;1;0;12;101;13;1;27;155;5;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;297;;116;393;0;0;19;149;5;1;28;202;12;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;298;;117;381;2;2;24;134;6;3;22;193;5;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;298;;118;367;1;3;34;151;13;1;35;238;1;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;298;;119;400;3;0;13;226;7;0;16;265;2;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;298;;120;442;0;3;28;124;12;0;29;196;2;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;298;;121;383;1;2;13;120;14;0;32;182;3;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;298;;122;381;2;1;23;79;11;1;23;140;3;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;298;;123;333;2;0;16;126;14;2;29;189;4;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;280;Regr. BVO-9;501;0;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;286;Regr. BVO-38;502;0;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;286;Regr. BVO-37;503;0;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;286;Regr. BVO-40;504;0;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;297;Regr. BVO-120;505;0;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;294;Regr. BVO-80;506;0;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;294;Regr. BVO-81;507;0;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;294;Regr. BVO-89;508;0;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;294;Regr. BVO-84;509;0;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;294;Regr. BVO-87;510;0;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;294;Regr. BVO-82;511;0;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;294;Regr. BVO-83;512;0;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Montréal, v;294;Regr. BVO-88;513;0;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;BVA1;;;;0;1;2;35;173;12;0;49;272;1;
431;Bourassa-Sauvé;2014-04-07;G;BVA2;;;;0;0;0;31;191;21;3;85;331;7;
431;Bourassa-Sauvé;2014-04-07;G;BVA3;;;;0;1;2;23;135;15;0;76;252;3;
431;Bourassa-Sauvé;2014-04-07;G;BVA4;;;;0;1;1;20;139;7;0;42;210;3;
