Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beau-Ferron Catherine P.N.;Blanchard Yvan C.A.Q.-É.F.L.;Deroy Frédérick O.N. - P.I.Q.;Leboeuf Daniel Q.S.;Lelièvre Gaétan P.Q.;Rioux Christian É.A.P. - P.C.Q.;St-Onge Annie P.L.Q./Q.L.P.;B.V.;B.R.;
731;Gaspé;2014-04-07;G;BVA3;;;;0;4;36;13;11;180;5;113;362;3;
731;Gaspé;2014-04-07;G;BVA4;;;;0;0;5;1;3;95;0;65;169;2;
731;Gaspé;2014-04-07;G;BVA5;;;;0;1;8;0;3;118;3;58;191;0;
731;Gaspé;2014-04-07;G;BVA6;;;;0;2;7;0;2;190;0;51;252;1;
731;Gaspé;2014-04-07;G;BVA7;;;;0;24;10;0;9;171;2;67;283;4;
731;Gaspé;2014-04-07;G;BVA8;;;;0;3;4;2;8;122;0;87;226;0;
731;Gaspé;2014-04-07;G;BVA9;;;;0;1;13;0;24;263;2;191;494;4;
731;Gaspé;2014-04-07;G;BVA10;;;;0;1;5;0;13;147;4;132;302;2;
731;Gaspé;2014-04-07;G;BVA11;;;;0;0;3;0;1;62;0;29;95;1;
731;Gaspé;2014-04-07;G;BVA12;;;;0;1;2;1;1;149;0;58;212;0;
731;Gaspé;2014-04-07;G;BVA13;;;;0;2;1;0;6;179;1;100;289;3;
731;Gaspé;2014-04-07;G;BVA14;;;;0;1;2;1;15;94;3;92;208;1;
731;Gaspé;2014-04-07;G;Vote en installation d'hébergement;;;;0;2;7;0;3;41;5;86;144;4;
731;Gaspé;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;3;8;1;9;57;3;84;165;4;
731;Gaspé;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;8;20;5;63;161;3;84;344;2;
731;Gaspé;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;
731;Gaspé;2014-04-07;G;Vote hors circonscription;;;;0;2;21;9;75;160;1;83;351;4;
731;Gaspé;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;42;0;0;0;0;0;0;0;0;0;
731;Gaspé;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;17;0;0;0;0;0;0;0;0;0;
731;Gaspé;2014-04-07;G;Total de la circonscription;;;;30850;255;1192;194;989;10026;99;6513;19268;210;
731;Gaspé;2014-04-07;G;Majorité en faveur de Gaétan Lelièvre : 3513
