Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blanchet Yves-François P.Q.;Desrochers François Q.S.;Doucet Magali O.N. - P.I.Q.;Gauthier Sébastien P.N.;Lamontagne André C.A.Q.-É.F.L.;Lussier Benoit É.A.P. - P.C.Q.;Mercier Brigitte P.L.Q./Q.L.P.;B.V.;B.R.;
269;Johnson;2014-04-07;G;BVA19;;;;0;56;4;1;0;36;0;23;120;4;
269;Johnson;2014-04-07;G;BVA20;;;;0;116;8;1;0;82;2;112;321;5;
269;Johnson;2014-04-07;G;BVA21;;;;0;116;11;2;2;65;2;86;284;4;
269;Johnson;2014-04-07;G;Vote en installation d'hébergement;;;;0;57;9;4;3;35;5;91;204;10;
269;Johnson;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;9;0;0;0;4;2;5;20;0;
269;Johnson;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;171;72;7;5;119;4;122;500;9;
269;Johnson;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;
269;Johnson;2014-04-07;G;Vote hors circonscription;;;;0;112;102;8;11;61;1;106;401;7;
269;Johnson;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;100;0;0;0;0;0;0;0;0;0;
269;Johnson;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;46;0;0;0;0;0;0;0;0;0;
269;Johnson;2014-04-07;G;Total de la circonscription;;;;57123;11768;2365;304;502;13621;262;8946;37768;755;
269;Johnson;2014-04-07;G;Majorité en faveur de André Lamontagne : 1853
