Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allen-Mercier Zoé O.N. - P.I.Q.;Boucher Jean P.L.Q./Q.L.P.;Cameron Michael Donald C.A.Q.-É.F.L.;Ferland Luc P.Q.;Guillemette Matthew P.N.;Richer André Q.S.;B.V.;B.R.;
793;Ungava;2014-04-07;G;Kuujjuarapik, vn;1;;52;431;1;55;42;9;1;6;114;2;
793;Ungava;2014-04-07;G;Rivière-Koksoak, no;1;Regr. BVO-83;53;0;0;0;0;0;0;0;0;0;
793;Ungava;2014-04-07;G;Whapmagoostui, tc;1;;54;392;2;28;5;2;2;0;39;0;
793;Ungava;2014-04-07;G;Chisasibi, tc;1;;55;558;8;76;9;10;2;8;113;7;
793;Ungava;2014-04-07;G;Chisasibi, tc;1;;56;480;5;90;4;8;2;2;111;2;
793;Ungava;2014-04-07;G;Chisasibi, tc;1;;57;444;3;43;4;5;0;3;58;0;
793;Ungava;2014-04-07;G;Chisasibi, tc;1;;58;446;3;82;9;6;2;2;104;0;
793;Ungava;2014-04-07;G;Chisasibi, tc;1;;59;498;4;98;10;6;1;3;122;1;
793;Ungava;2014-04-07;G;Wemindji, tc;1;;60;452;2;115;7;6;1;0;131;1;
793;Ungava;2014-04-07;G;Wemindji, tc;1;;61;443;1;114;11;4;2;1;133;0;
793;Ungava;2014-04-07;G;Eastmain, tc;1;;62;483;0;99;14;8;0;5;126;3;
793;Ungava;2014-04-07;G;Waskaganish, tc;1;;63;1299;5;280;19;27;2;3;336;1;
793;Ungava;2014-04-07;G;Nemaska, tc;1;;64;438;6;55;3;4;2;1;71;1;
793;Ungava;2014-04-07;G;Waswanipi, tc;1;;65;456;2;130;1;9;3;0;145;1;
793;Ungava;2014-04-07;G;Waswanipi, tc;1;;66;524;5;118;6;10;0;1;140;0;
793;Ungava;2014-04-07;G;Oujé-Bougoumou, éi;1;;67;432;6;105;9;13;1;5;139;0;
793;Ungava;2014-04-07;G;Mistissini, tc;1;;68;659;3;140;10;17;4;2;176;3;
793;Ungava;2014-04-07;G;Mistissini, tc;1;;69;409;1;92;9;8;2;3;115;0;
793;Ungava;2014-04-07;G;Mistissini, tc;1;;70;507;6;76;2;9;0;2;95;0;
793;Ungava;2014-04-07;G;Mistissini, tc;1;;71;385;2;55;2;3;0;3;65;0;
793;Ungava;2014-04-07;G;Baie-James, m;1;;72;224;4;14;18;58;1;5;100;2;
793;Ungava;2014-04-07;G;Baie-James, m;1;;73;191;4;14;13;66;0;6;103;0;
793;Ungava;2014-04-07;G;Baie-James, m;1;;74;210;18;28;19;56;0;2;123;2;
793;Ungava;2014-04-07;G;Baie-James, m;2;Regr. BVO-83;75;0;0;0;0;0;0;0;0;0;
793;Ungava;2014-04-07;G;Baie-James, m;2;;76;224;0;24;24;40;2;3;93;20;
793;Ungava;2014-04-07;G;Baie-James, m;2;Regr. BVO-83;77;0;0;0;0;0;0;0;0;0;
793;Ungava;2014-04-07;G;Baie-James, m;2;Regr. BVO-83;78;0;0;0;0;0;0;0;0;0;
793;Ungava;2014-04-07;G;Baie-James, m;2;Regr. BVO-83;79;0;0;0;0;0;0;0;0;0;
793;Ungava;2014-04-07;G;Baie-James, m;2;Regr. BVO-83;80;0;0;0;0;0;0;0;0;0;
793;Ungava;2014-04-07;G;Baie-James, m;2;Regr. BVO-83;81;0;0;0;0;0;0;0;0;0;
793;Ungava;2014-04-07;G;Baie-James, m;2;Regr. BVO-83;82;0;0;0;0;0;0;0;0;0;
793;Ungava;2014-04-07;G;Baie-James, m;2;;83;80;0;15;8;14;0;0;37;0;
793;Ungava;2014-04-07;G;Baie-James, m;2;;84;79;1;8;0;21;0;3;33;0;
793;Ungava;2014-04-07;G;Baie-James, m;2;Regr. BVO-24;85;0;0;0;0;0;0;0;0;0;
