Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cahn Lisa Julie P.V.Q./G.P.Q.;Chagnon Jacques P.L.Q./Q.L.P.;Desjardins Mélissa Q.S.;Laroche Denise P.Q.;B.V.;B.R.;
391;Westmount-Saint-Louis;2014-04-07;G;BVA10;;;;0;7;530;13;34;584;3;
391;Westmount-Saint-Louis;2014-04-07;G;BVA11;;;;0;9;191;56;45;301;3;
391;Westmount-Saint-Louis;2014-04-07;G;BVA12;;;;0;14;204;42;99;359;2;
391;Westmount-Saint-Louis;2014-04-07;G;BVA13;;;;0;21;193;33;49;296;3;
391;Westmount-Saint-Louis;2014-04-07;G;BVA14;;;;0;8;127;17;39;191;3;
391;Westmount-Saint-Louis;2014-04-07;G;Vote en installation d'hébergement;;;;0;29;432;36;72;569;14;
391;Westmount-Saint-Louis;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;1;83;2;5;91;1;
391;Westmount-Saint-Louis;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;45;758;26;22;851;3;
391;Westmount-Saint-Louis;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;
391;Westmount-Saint-Louis;2014-04-07;G;Vote hors circonscription;;;;0;12;424;41;28;505;19;
391;Westmount-Saint-Louis;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;458;0;0;0;0;0;0;
391;Westmount-Saint-Louis;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;5;0;0;0;0;0;0;
391;Westmount-Saint-Louis;2014-04-07;G;Total de la circonscription;;;;39736;981;20297;1523;1594;24395;252;
391;Westmount-Saint-Louis;2014-04-07;G;Majorité en faveur de Jacques Chagnon : 18703
