Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bégin Stéphane É.A.P. - P.C.Q.;Dutil Robert P.L.Q./Q.L.P.;Gagnon Lacroix Alex P.Q.;Genesse Robert Q.R.D.;Paquet Jean M.P.Q.;Poulin Samuel C.A.Q.-É.F.L.;Roy Vanessa O.N. - P.I.Q.;Vincent Diane Q.S.;B.V.;B.R.;
293;Beauce-Sud;2014-04-07;G;BVA18;;;;0;8;212;39;1;0;98;0;5;363;3;
293;Beauce-Sud;2014-04-07;G;Vote en installation d'hébergement;;;;0;8;736;73;6;10;166;3;6;1008;17;
293;Beauce-Sud;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;
293;Beauce-Sud;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;2;187;25;2;1;121;6;23;367;3;
293;Beauce-Sud;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;
293;Beauce-Sud;2014-04-07;G;Vote hors circonscription;;;;0;6;199;26;2;0;78;23;53;387;11;
293;Beauce-Sud;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;125;0;0;0;0;0;0;0;0;0;0;
293;Beauce-Sud;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;15;0;0;0;0;0;0;0;0;0;0;
293;Beauce-Sud;2014-04-07;G;Total de la circonscription;;;;48193;315;17055;2314;163;69;12909;220;729;33774;349;
293;Beauce-Sud;2014-04-07;G;Majorité en faveur de Robert Dutil : 4146
