Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Abitbol Évelyne P.Q.;Boivin Julie O.N. - P.I.Q.;Breton Yvon P.M.L.Q.;Dick Geneviève Q.S.;Nyaburerwa Alix P.V.Q./G.P.Q.;Pourreaux Serge C.A.Q.-É.F.L.;St-Pierre Christine P.L.Q./Q.L.P.;B.V.;B.R.;
437;Acadie;2014-04-07;G;BVA19;;;;0;21;0;0;17;1;8;101;148;3;
437;Acadie;2014-04-07;G;Vote en installation d'hébergement;;;;0;124;10;6;32;3;57;422;654;12;
437;Acadie;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;18;2;1;9;1;12;126;169;6;
437;Acadie;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;62;2;0;47;11;27;381;530;5;
437;Acadie;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;
437;Acadie;2014-04-07;G;Vote hors circonscription;;;;0;75;4;3;82;16;43;304;527;9;
437;Acadie;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;71;0;0;0;0;0;0;0;0;0;
437;Acadie;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;86;0;0;0;0;0;0;0;0;0;
437;Acadie;2014-04-07;G;Total de la circonscription;;;;49413;3985;162;67;2241;405;3050;24211;34121;318;
437;Acadie;2014-04-07;G;Majorité en faveur de Christine St-Pierre : 20226
