Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais François P.L.Q./Q.L.P.;Cyr Guillaume O.N. - P.I.Q.;Domingue Marie Céline Q.S.;Fiset Sylvain P.N.;Fournier Normand P.M.L.Q.;Jovanovic Milan É.A.P. - P.C.Q.;Lachance Daniel P.U.N.;Payette Dominique P.Q.;Trudel Denise C.A.Q.-É.F.L.;B.V.;B.R.;
619;Charlesbourg;2014-04-07;G;BVA20;;;;0;214;0;15;0;0;6;1;104;150;490;5;
619;Charlesbourg;2014-04-07;G;Vote en installation d'hébergement;;;;0;710;6;31;6;8;16;8;134;169;1088;17;
619;Charlesbourg;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;77;1;5;1;1;5;0;32;25;147;1;
619;Charlesbourg;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;242;2;17;1;2;3;1;117;108;493;6;
619;Charlesbourg;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;0;
619;Charlesbourg;2014-04-07;G;Vote hors circonscription;;;;0;286;18;94;11;0;7;0;108;141;665;19;
619;Charlesbourg;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;232;0;0;0;0;0;0;0;0;0;0;0;
619;Charlesbourg;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;12;0;0;0;0;0;0;0;0;0;0;0;
619;Charlesbourg;2014-04-07;G;Total de la circonscription;;;;52879;16934;257;1936;315;40;450;52;7215;13053;40252;431;
619;Charlesbourg;2014-04-07;G;Majorité en faveur de François Blais : 3881
