Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Birnbaum David P.L.Q./Q.L.P.;Dufresne Suzanne Q.S.;Pion Eliane P.Q.;Smart Elizabeth C.A.Q.-É.F.L.;Weizfeld Abraham P.V.Q./G.P.Q.;B.V.;B.R.;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;123;;100;347;178;2;5;6;2;193;1;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;123;;101;329;173;3;5;8;10;199;1;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;123;;102;334;186;6;2;5;1;200;0;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;123;;103;451;152;5;2;5;4;168;1;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;123;;104;305;122;11;12;6;7;158;1;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;123;;105;295;118;6;7;12;6;149;1;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;124;;106;362;184;4;4;2;2;196;3;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;124;;107;319;107;2;5;7;1;122;2;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;124;;108;331;170;2;5;10;2;189;0;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;124;;109;316;161;5;7;4;3;180;1;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;124;;110;311;144;8;6;11;5;174;1;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;124;;111;340;158;3;0;4;3;168;4;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;124;;112;309;134;15;15;5;3;172;1;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;124;;113;310;144;13;7;6;6;176;1;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;124;;114;316;155;9;13;21;4;202;2;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;124;;115;316;131;9;14;13;5;172;1;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;124;;116;323;153;15;18;7;11;204;4;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;125;;117;342;111;25;27;25;9;197;1;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;125;;118;298;115;15;17;7;5;159;1;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;125;;119;323;119;19;6;9;8;161;0;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;125;;120;325;114;13;6;6;3;142;1;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;125;;121;325;131;17;10;14;7;179;0;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;125;;122;326;137;10;13;13;8;181;0;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;125;;123;336;108;48;27;31;20;234;2;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;125;;124;314;91;27;10;18;14;160;6;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;125;;125;334;125;6;6;3;9;149;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;2;Regr. BVO-14;500;0;0;0;0;0;0;0;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;2;Regr. BVO-16;501;0;0;0;0;0;0;0;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;2;Regr. BVO-18;502;0;0;0;0;0;0;0;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;3;Regr. BVO-24;503;0;0;0;0;0;0;0;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;5;Regr. BVO-43;504;0;0;0;0;0;0;0;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;5;Regr. BVO-30;505;0;0;0;0;0;0;0;0;
403;D'Arcy-McGee;2014-04-07;G;Côte-Saint-Luc, v;5;Regr. BVO-52;506;0;0;0;0;0;0;0;0;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;123;Regr. BVO-103;507;0;0;0;0;0;0;0;0;
403;D'Arcy-McGee;2014-04-07;G;Montréal, v;124;Regr. BVO-111;508;0;0;0;0;0;0;0;0;
403;D'Arcy-McGee;2014-04-07;G;BVA1;;;;0;577;0;0;4;3;584;1;
403;D'Arcy-McGee;2014-04-07;G;BVA2;;;;0;419;5;2;6;4;436;0;
403;D'Arcy-McGee;2014-04-07;G;BVA3;;;;0;487;1;1;2;3;494;1;
403;D'Arcy-McGee;2014-04-07;G;BVA4;;;;0;768;1;0;2;3;774;6;
403;D'Arcy-McGee;2014-04-07;G;BVA5;;;;0;627;0;2;3;3;635;1;
403;D'Arcy-McGee;2014-04-07;G;BVA6;;;;0;591;1;5;9;3;609;6;
403;D'Arcy-McGee;2014-04-07;G;BVA7;;;;0;441;3;1;2;4;451;0;
403;D'Arcy-McGee;2014-04-07;G;BVA8;;;;0;664;2;0;5;3;674;1;
403;D'Arcy-McGee;2014-04-07;G;BVA9;;;;0;597;6;7;12;4;626;0;
403;D'Arcy-McGee;2014-04-07;G;BVA10;;;;0;216;6;5;5;0;232;6;
403;D'Arcy-McGee;2014-04-07;G;BVA11;;;;0;501;0;0;9;4;514;3;
403;D'Arcy-McGee;2014-04-07;G;BVA12;;;;0;349;9;17;12;8;395;1;
403;D'Arcy-McGee;2014-04-07;G;BVA13;;;;0;291;2;7;8;1;309;0;
403;D'Arcy-McGee;2014-04-07;G;BVA14;;;;0;274;14;12;13;7;320;0;
403;D'Arcy-McGee;2014-04-07;G;BVA15;;;;0;129;7;21;5;6;168;0;
403;D'Arcy-McGee;2014-04-07;G;Vote en installation d'hébergement;;;;0;568;4;7;8;11;598;8;
403;D'Arcy-McGee;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;77;0;1;3;2;83;3;
403;D'Arcy-McGee;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;598;12;5;6;6;627;1;
403;D'Arcy-McGee;2014-04-07;G;Vote hors circonscription;;;;0;451;27;10;14;16;518;10;
403;D'Arcy-McGee;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;261;0;0;0;0;0;0;0;
403;D'Arcy-McGee;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;5;0;0;0;0;0;0;0;
403;D'Arcy-McGee;2014-04-07;G;Total de la circonscription;;;;40892;26983;604;524;716;454;29281;184;
403;D'Arcy-McGee;2014-04-07;G;Majorité en faveur de David Birnbaum : 26267
