Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Clavet Alain C.A.Q.-É.F.L.;Deslandes Hate's B.P.;Hughes Roger Ind;Khadir Amir Q.S.;Legault Sylvie P.Q.;Sagala Richard P.L.Q./Q.L.P.;Servant Martin O.N. - P.I.Q.;B.V.;B.R.;
383;Mercier;2014-04-07;G;BVA10;;;;0;21;0;1;125;93;57;3;300;4;
383;Mercier;2014-04-07;G;BVA11;;;;0;23;0;2;118;106;47;1;297;4;
383;Mercier;2014-04-07;G;BVA12;;;;0;28;0;0;178;145;74;1;426;4;
383;Mercier;2014-04-07;G;BVA13;;;;0;17;0;0;183;91;48;3;342;1;
383;Mercier;2014-04-07;G;BVA14;;;;0;25;1;2;143;119;38;1;329;0;
383;Mercier;2014-04-07;G;BVA15;;;;0;12;0;0;84;69;24;0;189;1;
383;Mercier;2014-04-07;G;Vote en installation d'hébergement;;;;0;33;1;3;37;109;138;5;326;12;
383;Mercier;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;
383;Mercier;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;29;1;1;209;87;124;5;456;2;
383;Mercier;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;
383;Mercier;2014-04-07;G;Vote hors circonscription;;;;0;33;2;2;415;81;92;12;637;13;
383;Mercier;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;107;0;0;0;0;0;0;0;0;0;
383;Mercier;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;14;0;0;0;0;0;0;0;0;0;
383;Mercier;2014-04-07;G;Total de la circonscription;;;;40052;2400;189;129;13228;5872;6593;228;28639;360;
383;Mercier;2014-04-07;G;Majorité en faveur de Amir Khadir : 6635
