Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boily Étienne O.N. - P.I.Q.;Boyer Jean-Marc Ind;Demers Andréanne P.V.Q./G.P.Q.;Dydzak Joseph C.A.Q.-É.F.L.;Moran Janina Q.S.;Poirier Jean P.Q.;Robert Alain É.A.P. - P.C.Q.;Rousselle Jean P.L.Q./Q.L.P.;B.V.;B.R.;
449;Vimont;2014-04-07;G;BVA19;;;;0;1;0;4;49;9;106;3;128;300;2;
449;Vimont;2014-04-07;G;BVA20;;;;0;0;1;3;54;10;99;1;95;263;5;
449;Vimont;2014-04-07;G;BVA21;;;;0;1;0;1;63;10;122;1;102;300;1;
449;Vimont;2014-04-07;G;BVA22;;;;0;0;0;2;56;13;114;0;116;301;6;
449;Vimont;2014-04-07;G;BVA23;;;;0;2;1;2;39;6;44;4;167;265;4;
449;Vimont;2014-04-07;G;BVA24;;;;0;1;0;5;36;3;62;1;163;271;2;
449;Vimont;2014-04-07;G;BVA25;;;;0;1;0;1;23;1;29;0;66;121;4;
449;Vimont;2014-04-07;G;BVA26;;;;0;1;0;1;21;6;26;1;70;126;3;
449;Vimont;2014-04-07;G;Vote en installation d'hébergement;;;;0;0;0;0;1;1;8;0;20;30;3;
449;Vimont;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;0;1;0;5;5;6;0;46;63;0;
449;Vimont;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;2;1;3;45;17;81;0;215;364;1;
449;Vimont;2014-04-07;G;Vote hors circonscription;;;;0;15;1;13;80;99;91;7;249;555;16;
449;Vimont;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;153;0;0;0;0;0;0;0;0;0;0;
449;Vimont;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;14;0;0;0;0;0;0;0;0;0;0;
449;Vimont;2014-04-07;G;Total de la circonscription;;;;44955;192;117;372;6632;1676;8160;104;17584;34837;445;
449;Vimont;2014-04-07;G;Majorité en faveur de Jean Rousselle : 9424
