Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chalhoub Claude É.A.P. - P.C.Q.;Cloutier Claudia C.A.Q.-É.F.L.;Laberge Xavier P.- Q.S.;Mailly François U.C.Q./Q.C.U.;Masse Vincent O.N. - P.I.Q.;Moreau Pierre P.L.Q./Q.L.P.;Pilon Laurent P.Q.;Sullivan Linda P.M.L.Q.;B.V.;B.R.;
173;Châteauguay;2014-04-07;G;BVA16;;;;0;2;105;28;0;3;182;176;0;496;7;
173;Châteauguay;2014-04-07;G;BVA17;;;;0;1;61;20;1;0;127;125;0;335;1;
173;Châteauguay;2014-04-07;G;Vote en installation d'hébergement;;;;0;10;37;2;2;1;253;74;3;382;8;
173;Châteauguay;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;0;10;6;3;2;58;28;0;107;2;
173;Châteauguay;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;2;40;28;3;4;334;89;3;503;10;
173;Châteauguay;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;
173;Châteauguay;2014-04-07;G;Vote hors circonscription;;;;0;4;38;59;0;10;175;60;0;346;9;
173;Châteauguay;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;113;0;0;0;0;0;0;0;0;0;0;
173;Châteauguay;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;16;0;0;0;0;0;0;0;0;0;0;
173;Châteauguay;2014-04-07;G;Total de la circonscription;;;;50370;174;7292;2059;58;199;17876;8257;104;36019;530;
173;Châteauguay;2014-04-07;G;Majorité en faveur de Pierre Moreau : 9619
