Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allen Jamie C.A.Q.-É.F.L.;Comtois-Lussier Michaël P.Q.;Faour Ali Q.S.;Leitao Carlos J P.L.Q./Q.L.P.;Martinova-Croteau Viviane O.N. - P.I.Q.;Mireault Mathieu P.V.Q./G.P.Q.;Popert Patricia É.A.P. - P.C.Q.;B.V.;B.R.;
413;Robert-Baldwin;2014-04-07;G;BVA20;;;;0;7;3;2;468;0;3;3;486;0;
413;Robert-Baldwin;2014-04-07;G;Vote en installation d'hébergement;;;;0;6;4;3;204;2;2;2;223;1;
413;Robert-Baldwin;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;7;1;1;80;0;1;0;90;2;
413;Robert-Baldwin;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;23;27;17;850;1;12;3;933;6;
413;Robert-Baldwin;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;
413;Robert-Baldwin;2014-04-07;G;Vote hors circonscription;;;;0;26;16;39;541;2;35;4;663;18;
413;Robert-Baldwin;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;207;0;0;0;0;0;0;0;0;0;
413;Robert-Baldwin;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;6;0;0;0;0;0;0;0;0;0;
413;Robert-Baldwin;2014-04-07;G;Total de la circonscription;;;;54979;2161;1557;794;36763;96;607;146;42124;203;
413;Robert-Baldwin;2014-04-07;G;Majorité en faveur de Carlos J Leitao : 34602
